x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.4125,0.266304,0.159375,0.277174,0.97542,0.0115513,0.00140134,0.00983191,5.76576e-5,4.09763e-4,1.7209e-5,0.00131088
0.415625,0.266304,0.159375,0.277174,0.966273,0.0121775,0.00249379,0.0164851,7.48121e-5,8.35625e-4,3.72764e-5,0.00162274
0.415625,0.266304,0.159375,0.277174,0.968019,0.00994116,0.00209772,0.0175794,6.67783e-5,7.13567e-4,3.61635e-5,0.001546
0.41875,0.271739,0.159375,0.277174,0.985375,0.00652902,0.00224706,0.00429905,2.92112e-5,2.73857e-4,4.83113e-6,0.00124149
0.41875,0.271739,0.159375,0.277174,0.985302,0.00714117,0.00190502,0.00403835,2.61912e-5,2.63952e-4,3.93352e-6,0.00131966
0.41875,0.271739,0.159375,0.277174,0.985494,0.00677304,0.00155834,0.00460733,2.20492e-5,2.4545e-4,3.30914e-6,0.00129603
0.41875,0.271739,0.159375,0.277174,0.985994,0.00514884,0.00133108,0.00614021,2.07842e-5,2.39176e-4,3.81947e-6,0.00112194
0.41875,0.271739,0.159375,0.277174,0.984145,0.00541716,0.00147587,0.00747709,2.94117e-5,2.89582e-4,5.5795e-6,0.00115993
0.41875,0.271739,0.159375,0.277174,0.983221,0.0051496,0.00134204,0.00879629,3.09002e-5,2.77074e-4,6.27488e-6,0.00117662
0.41875,0.271739,0.159375,0.277174,0.983971,0.00510445,0.00115208,0.0083177,3.10153e-5,2.65943e-4,5.49445e-6,0.00115249
0.41875,0.271739,0.159375,0.277174,0.980215,0.00792357,0.00170192,0.00840393,4.06655e-5,3.30191e-4,8.28774e-6,0.00137621
0.41875,0.271739,0.159375,0.277174,0.974267,0.00994254,0.0019067,0.0117648,4.9727e-5,4.68205e-4,1.15391e-5,0.00158914
0.41875,0.277174,0.159375,0.277174,0.966511,0.0187415,0.00254534,0.0100263,1.37585e-5,1.67483e-4,9.72157e-6,0.00198497
